   1.9129320e+14   6.1788650e+19   1.2458390e+17   4.4719580e+13
   1.8108560e+14   6.1997440e+19   1.2928850e+17   4.4462640e+13
   1.8213470e+14   6.6981530e+19   1.2733310e+17   4.7985850e+13
   1.8752940e+14   6.2580740e+19   1.1856530e+17   4.8588460e+13
   1.8680120e+14   6.3777290e+19   1.3024580e+17   5.2615800e+13
   2.1051880e+14   5.6174870e+19   1.2697530e+17   4.9007760e+13
   1.8798400e+14   5.9565890e+19   1.2562700e+17   4.8457040e+13
   2.0191350e+14   5.6226000e+19   1.1118150e+17   5.2270610e+13
   2.0147860e+14   5.7749070e+19   1.3020810e+17   5.2241640e+13
   1.8422340e+14   6.6956020e+19   1.1750060e+17   4.5809370e+13
   1.8562250e+14   6.7105110e+19   1.1527010e+17   4.9960580e+13
   1.8582260e+14   6.4341900e+19   1.2300620e+17   5.2675620e+13
   1.7792140e+14   6.4571370e+19   1.1942700e+17   4.5567910e+13
   2.0960310e+14   6.1227970e+19   1.1431830e+17   5.0282410e+13
   2.0717150e+14   6.7022600e+19   1.2834950e+17   5.1070410e+13
   1.9379640e+14   6.0545230e+19   1.1247400e+17   5.2410280e+13
   1.8436050e+14   6.3960760e+19   1.1363980e+17   5.1609880e+13
   2.0636810e+14   6.3549960e+19   1.2404340e+17   4.7443700e+13
   1.9818610e+14   6.2918760e+19   1.1969800e+17   4.3432440e+13
   1.8732860e+14   5.8269970e+19   1.0994570e+17   4.3716100e+13
